Slice,Count,Total Area,Average Size,%Area,Mean
1,16,6.669,0.417,41.760,254.188
2,15,7.183,0.479,44.980,254.687
3,16,6.849,0.428,42.891,254.769
4,14,6.695,0.478,41.929,254.849
5,13,6.787,0.522,42.500,255.000
6,14,6.840,0.489,42.833,254.857
7,14,6.755,0.483,42.304,255.000
8,14,6.164,0.440,38.603,255.000
9,13,6.172,0.475,38.653,254.546
10,13,6.147,0.473,38.492,255.000
11,13,6.816,0.524,42.685,255.000
12,14,6.884,0.492,43.111,255.000
13,14,6.886,0.492,43.121,254.828
14,15,6.704,0.447,41.982,255.000
15,13,6.779,0.521,42.454,255.000
16,15,6.723,0.448,42.099,255.000
17,13,6.874,0.529,43.050,255.000
18,13,6.556,0.504,41.058,254.204
19,14,6.093,0.435,38.159,254.673
20,15,5.779,0.385,36.188,254.409
21,15,5.604,0.374,35.093,254.780
22,15,5.631,0.375,35.262,255.000
23,14,5.574,0.398,34.903,255.000
24,14,5.586,0.399,34.982,254.384
25,14,5.718,0.408,35.806,253.694
26,14,5.761,0.411,36.075,255.000
27,11,6.097,0.554,38.181,254.876
28,14,5.039,0.360,31.554,255.000
29,10,5.271,0.527,33.010,255.000
30,13,5.657,0.435,35.429,255.000
31,11,5.721,0.520,35.827,255.000
32,11,5.950,0.541,37.258,255.000
33,11,6.329,0.575,39.631,254.789
34,13,6.588,0.507,41.258,254.966
35,15,7.121,0.475,44.593,254.840
36,13,7.012,0.539,43.909,254.763
37,14,6.868,0.491,43.008,254.662
38,14,6.586,0.470,41.244,255.000
39,15,6.326,0.422,39.613,255.000
40,14,6.728,0.481,42.135,252.799
41,12,6.624,0.552,41.480,253.109
42,10,6.301,0.630,39.456,252.371
43,10,6.361,0.636,39.833,252.772
44,12,6.194,0.516,38.786,254.074
45,11,6.349,0.577,39.758,254.521
46,11,6.505,0.591,40.734,254.390
47,11,6.661,0.606,41.712,254.076
48,10,6.599,0.660,41.325,253.792
49,8,6.822,0.853,42.720,253.616
50,10,6.417,0.642,40.183,254.100
51,9,6.449,0.717,40.387,254.252
52,11,6.367,0.579,39.869,254.644
53,12,6.253,0.521,39.157,255.000
54,12,5.991,0.499,37.520,255.000
55,13,6.140,0.472,38.450,255.000
56,13,6.670,0.513,41.768,255.000
57,10,6.923,0.692,43.355,255.000
58,12,6.900,0.575,43.210,255.000
59,10,6.987,0.699,43.756,255.000
60,9,7.564,0.840,47.365,254.319
61,9,7.466,0.830,46.756,254.745
62,10,7.374,0.737,46.181,254.742
63,10,7.487,0.749,46.887,254.791
64,11,7.581,0.689,47.472,253.719
65,12,7.478,0.623,46.827,255.000
66,10,7.785,0.779,48.754,255.000
67,12,7.793,0.649,48.800,255.000
68,11,7.990,0.726,50.034,255.000
69,9,7.670,0.852,48.034,255.000
70,10,7.583,0.758,47.486,255.000
71,9,7.602,0.845,47.605,255.000
72,10,7.609,0.761,47.651,255.000
73,10,7.629,0.763,47.776,255.000
74,10,7.687,0.769,48.139,254.844
75,11,7.325,0.666,45.869,254.789
76,11,7.279,0.662,45.581,255.000
77,9,7.133,0.793,44.669,254.658
78,10,7.000,0.700,43.833,254.512
79,11,6.953,0.632,43.542,255.000
80,9,6.906,0.767,43.244,254.872
81,10,7.152,0.715,44.788,255.000
82,11,7.312,0.665,45.792,255.000
83,12,7.424,0.619,46.492,255.000
84,12,7.528,0.627,47.143,254.563
85,11,7.632,0.694,47.792,254.751
86,13,7.479,0.575,46.835,254.715
87,10,7.775,0.777,48.687,254.637
88,12,7.817,0.651,48.950,254.658
89,7,7.975,1.139,49.942,254.421
90,7,8.014,1.145,50.188,254.544
91,7,7.992,1.142,50.046,255.000
92,11,7.661,0.696,47.976,255.000
93,15,7.612,0.507,47.671,255.000
94,15,7.629,0.509,47.776,255.000
95,15,7.598,0.507,47.583,255.000
96,12,7.713,0.643,48.304,255.000
97,11,7.716,0.701,48.319,255.000
98,14,7.699,0.550,48.214,255.000
99,13,7.811,0.601,48.913,255.000
100,11,7.537,0.685,47.200,254.963
101,10,7.503,0.750,46.986,255.000
102,10,7.371,0.737,46.157,255.000
103,11,7.336,0.667,45.938,255.000
104,10,7.334,0.733,45.929,254.924
105,10,7.458,0.746,46.702,255.000
106,11,7.601,0.691,47.599,255.000
107,10,7.684,0.768,48.121,255.000
108,11,7.444,0.677,46.613,255.000
109,12,7.454,0.621,46.677,255.000
110,11,7.330,0.666,45.903,255.000
111,14,7.350,0.525,46.026,255.000
112,12,7.207,0.601,45.133,255.000
113,11,6.992,0.636,43.786,254.906
114,11,6.914,0.629,43.300,255.000
115,12,7.244,0.604,45.365,255.000
116,13,7.231,0.556,45.284,255.000
117,12,7.606,0.634,47.633,255.000
118,10,7.206,0.721,45.125,255.000
119,13,7.311,0.562,45.782,255.000
120,10,7.061,0.706,44.218,255.000
121,11,7.139,0.649,44.704,254.274
122,9,7.723,0.858,48.365,253.041
123,10,7.795,0.779,48.812,254.101
124,9,7.534,0.837,47.183,254.829
125,10,7.716,0.772,48.319,255.000
126,10,7.398,0.740,46.327,254.696
127,9,7.550,0.839,47.280,254.941
128,12,7.639,0.637,47.837,254.757
129,11,7.643,0.695,47.863,254.739
130,15,7.514,0.501,47.058,254.249
131,15,7.468,0.498,46.764,253.537
132,14,7.952,0.568,49.798,254.937
133,14,8.059,0.576,50.464,254.605
134,13,7.996,0.615,50.075,254.295
135,12,8.103,0.675,50.744,254.261
136,10,8.293,0.829,51.931,253.938
137,10,8.004,0.800,50.121,254.449
138,12,7.749,0.646,48.524,254.476
139,10,7.696,0.770,48.196,253.692
140,10,7.690,0.769,48.155,254.477
141,9,7.760,0.862,48.595,255.000
142,9,7.889,0.877,49.405,255.000
143,11,7.918,0.720,49.587,255.000
144,10,8.235,0.824,51.571,255.000
145,10,8.183,0.818,51.244,254.781
146,9,8.258,0.918,51.712,254.936
147,9,8.188,0.910,51.276,255.000
148,11,8.148,0.741,51.026,254.795
149,11,8.066,0.733,50.514,255.000
150,12,8.068,0.672,50.526,255.000
151,10,8.377,0.838,52.456,253.862
152,11,8.360,0.760,52.353,255.000
153,9,8.453,0.939,52.937,254.646
154,9,8.296,0.922,51.948,254.804
155,9,8.399,0.933,52.597,254.896
156,8,8.346,1.043,52.262,254.537
157,8,8.225,1.028,51.506,254.276
158,9,7.972,0.886,49.925,255.000
159,8,7.941,0.993,49.726,255.000
160,11,7.765,0.706,48.629,255.000
161,13,7.397,0.569,46.319,255.000
162,15,7.674,0.512,48.058,255.000
163,14,7.718,0.551,48.333,254.707
164,12,7.910,0.659,49.536,255.000
165,11,8.028,0.730,50.276,255.000
166,11,8.110,0.737,50.790,255.000
167,10,8.257,0.826,51.706,254.816
168,10,8.353,0.835,52.312,255.000
169,12,8.529,0.711,53.411,255.000
170,11,8.344,0.759,52.252,255.000
171,12,8.219,0.685,51.472,255.000
172,13,7.994,0.615,50.058,254.711
173,11,7.473,0.679,46.800,255.000
174,12,7.156,0.596,44.813,255.000
175,12,7.305,0.609,45.746,255.000
176,12,7.220,0.602,45.216,255.000
177,12,7.120,0.593,44.587,255.000
178,11,7.517,0.683,47.071,253.502
179,10,7.566,0.757,47.377,255.000
180,13,7.781,0.599,48.724,254.460
181,14,7.788,0.556,48.772,255.000
182,11,8.093,0.736,50.679,255.000
183,12,8.121,0.677,50.857,254.819
184,12,8.174,0.681,51.188,253.763
185,10,8.070,0.807,50.534,253.219
186,9,8.016,0.891,50.196,252.506
187,10,7.777,0.778,48.698,251.849
188,11,7.457,0.678,46.698,254.363
189,11,7.423,0.675,46.482,254.332
190,11,7.129,0.648,44.641,255.000
191,12,7.248,0.604,45.387,254.794
192,11,7.105,0.646,44.492,254.730
193,11,7.104,0.646,44.484,255.000
194,10,7.229,0.723,45.272,254.697
195,10,6.664,0.666,41.730,254.705
196,9,6.575,0.731,41.173,255.000
197,11,6.498,0.591,40.690,255.000
198,11,6.227,0.566,38.998,254.230
199,10,6.195,0.619,38.794,253.888
200,10,6.181,0.618,38.708,255.000
201,11,6.204,0.564,38.851,255.000
202,10,6.164,0.616,38.599,254.875
203,12,6.085,0.507,38.103,255.000
204,13,6.398,0.492,40.065,254.317
205,16,6.158,0.385,38.562,254.524
206,15,6.142,0.409,38.462,254.544
207,13,6.363,0.489,39.847,254.823
208,11,6.172,0.561,38.653,255.000
209,12,6.375,0.531,39.919,255.000
210,11,6.432,0.585,40.280,255.000
211,12,6.076,0.506,38.050,255.000
212,14,6.571,0.469,41.151,254.275
213,13,6.580,0.506,41.204,255.000
214,13,6.811,0.524,42.653,255.000
215,13,7.091,0.545,44.403,253.691
216,12,7.174,0.598,44.927,254.442
217,12,7.322,0.610,45.849,254.446
218,14,7.205,0.515,45.117,254.603
219,12,7.226,0.602,45.250,254.869
220,14,7.040,0.503,44.085,255.000
221,13,7.184,0.553,44.986,255.000
222,13,7.176,0.552,44.938,255.000
223,13,7.147,0.550,44.754,255.000
224,12,6.984,0.582,43.736,255.000
225,12,7.217,0.601,45.194,255.000
226,13,7.217,0.555,45.192,255.000
227,12,7.412,0.618,46.419,255.000
228,12,7.451,0.621,46.661,255.000
229,11,7.390,0.672,46.278,254.806
230,12,7.387,0.616,46.258,254.796
231,11,7.662,0.697,47.980,254.872
232,13,7.520,0.578,47.093,254.892
233,13,5.993,0.461,37.528,255.000
234,13,5.962,0.459,37.333,254.484
235,13,5.705,0.439,35.724,254.823
236,16,5.761,0.360,36.075,255.000
237,15,5.582,0.372,34.954,255.000
238,15,5.928,0.395,37.121,254.744
