Slice,Count,Total Area,Average Size,%Area,Mean
1,12,5.174,0.431,32.399,255.000
1,5,6.225,1.245,38.984,255.000
1,4,2.170,0.542,13.587,255.000
1,1,15.969,15.969,100.000,99.410
1,11,2.837,0.258,17.768,255.000
2,11,3.015,0.274,18.881,255.000
3,8,2.897,0.362,18.141,255.000
4,7,2.835,0.405,17.756,255.000
5,7,2.978,0.425,18.649,255.000
6,7,3.025,0.432,18.944,255.000
7,7,3.006,0.429,18.825,255.000
8,10,3.277,0.328,20.524,255.000
9,10,3.285,0.329,20.573,255.000
10,9,3.241,0.360,20.296,255.000
11,9,2.891,0.321,18.101,255.000
12,11,3.034,0.276,18.998,255.000
13,12,3.067,0.256,19.206,255.000
14,12,2.408,0.201,15.079,255.000
15,7,2.288,0.327,14.325,255.000
16,12,2.900,0.242,18.161,255.000
17,8,2.310,0.289,14.464,255.000
18,10,2.270,0.227,14.214,255.000
19,8,2.276,0.285,14.256,255.000
20,9,2.180,0.242,13.653,255.000
21,8,2.183,0.273,13.671,255.000
22,11,2.244,0.204,14.056,255.000
23,14,2.291,0.164,14.349,255.000
24,15,2.296,0.153,14.375,255.000
25,17,2.291,0.135,14.347,255.000
26,10,2.221,0.222,13.907,255.000
27,11,2.891,0.263,18.105,255.000
28,16,2.864,0.179,17.937,255.000
29,15,3.050,0.203,19.101,255.000
30,13,3.299,0.254,20.661,255.000
31,14,3.357,0.240,21.024,255.000
32,14,3.404,0.243,21.319,255.000
33,13,1.267,0.097,7.937,255.000
34,12,1.249,0.104,7.821,255.000
35,8,2.619,0.327,16.401,255.000
36,10,2.523,0.252,15.802,255.000
37,9,1.935,0.215,12.115,255.000
38,10,1.832,0.183,11.474,255.000
39,13,2.581,0.199,16.163,255.000
40,14,2.620,0.187,16.409,255.000
41,13,2.784,0.214,17.435,255.000
42,13,2.590,0.199,16.216,255.000
43,9,1.244,0.138,7.790,255.000
44,6,1.387,0.231,8.688,255.000
45,4,1.306,0.326,8.177,255.000
46,9,1.496,0.166,9.367,255.000
47,7,3.100,0.443,19.413,255.000
48,7,1.423,0.203,8.911,255.000
49,6,1.380,0.230,8.645,255.000
50,7,1.478,0.211,9.258,255.000
51,6,1.271,0.212,7.960,255.000
52,5,0.659,0.132,4.129,255.000
53,8,2.778,0.347,17.397,255.000
54,8,2.592,0.324,16.234,255.000
55,10,2.606,0.261,16.321,255.000
56,9,0.832,0.092,5.210,255.000
57,6,0.726,0.121,4.548,255.000
58,7,1.380,0.197,8.643,255.000
59,6,1.021,0.170,6.397,255.000
60,7,2.527,0.361,15.827,255.000
61,8,2.501,0.313,15.663,255.000
62,9,2.433,0.270,15.238,255.000
63,8,2.443,0.305,15.300,255.000
64,11,2.425,0.220,15.185,255.000
65,14,2.495,0.178,15.627,255.000
66,10,2.436,0.244,15.258,255.000
67,9,2.692,0.299,16.857,255.000
68,6,1.238,0.206,7.750,255.000
69,5,1.225,0.245,7.669,255.000
70,5,1.197,0.239,7.496,255.000
71,5,1.179,0.236,7.385,255.000
72,3,1.124,0.375,7.038,255.000
73,4,1.163,0.291,7.286,255.000
74,3,1.170,0.390,7.327,255.000
75,6,1.544,0.257,9.669,255.000
76,4,2.059,0.515,12.897,255.000
77,5,2.116,0.423,13.252,255.000
78,5,2.142,0.428,13.413,255.000
79,6,2.174,0.362,13.617,255.000
80,7,2.080,0.297,13.028,255.000
81,6,2.045,0.341,12.808,255.000
82,5,2.137,0.427,13.383,255.000
83,5,2.157,0.431,13.510,255.000
84,7,2.968,0.424,18.585,255.000
85,6,1.423,0.237,8.911,255.000
86,8,2.833,0.354,17.740,255.000
87,8,2.957,0.370,18.518,255.000
88,6,2.266,0.378,14.192,255.000
89,4,1.992,0.498,12.472,255.000
90,6,2.682,0.447,16.796,255.000
91,7,2.632,0.376,16.484,255.000
92,8,2.933,0.367,18.369,255.000
93,7,3.017,0.431,18.893,255.000
94,5,2.989,0.598,18.720,255.000
95,5,2.995,0.599,18.758,255.000
96,5,3.022,0.604,18.923,255.000
97,7,2.296,0.328,14.377,255.000
98,6,3.816,0.636,23.897,255.000
99,8,4.319,0.540,27.050,255.000
100,5,4.143,0.829,25.946,255.000
101,5,2.024,0.405,12.677,255.000
102,5,1.963,0.393,12.296,255.000
103,6,1.983,0.330,12.417,255.000
104,7,2.411,0.344,15.097,255.000
105,6,3.929,0.655,24.605,255.000
106,8,4.085,0.511,25.579,255.000
107,10,4.204,0.420,26.325,255.000
108,9,4.148,0.461,25.976,255.000
109,9,4.089,0.454,25.605,255.000
110,8,4.009,0.501,25.103,255.000
111,11,3.897,0.354,24.405,255.000
112,12,3.768,0.314,23.595,255.000
113,9,2.665,0.296,16.688,255.000
114,6,2.553,0.426,15.990,255.000
115,8,2.553,0.319,15.986,255.000
116,7,2.631,0.376,16.478,255.000
117,11,2.880,0.262,18.034,255.000
118,14,2.899,0.207,18.157,255.000
119,11,2.877,0.262,18.014,255.000
120,11,2.719,0.247,17.026,255.000
121,8,2.659,0.332,16.653,255.000
122,10,1.460,0.146,9.145,255.000
123,8,0.980,0.122,6.137,255.000
124,7,1.531,0.219,9.585,255.000
125,8,1.542,0.193,9.657,255.000
126,8,1.841,0.230,11.526,255.000
127,9,1.517,0.169,9.498,255.000
128,6,3.935,0.656,24.639,255.000
129,8,3.463,0.433,21.685,255.000
130,6,3.583,0.597,22.435,255.000
131,7,3.459,0.494,21.663,255.000
132,6,2.706,0.451,16.944,255.000
133,7,2.455,0.351,15.371,255.000
134,7,2.971,0.424,18.607,255.000
135,6,2.306,0.384,14.442,255.000
136,5,1.972,0.394,12.347,255.000
137,4,1.921,0.480,12.030,255.000
138,4,1.955,0.489,12.240,255.000
139,5,1.984,0.397,12.425,255.000
140,5,1.763,0.353,11.042,255.000
141,5,1.155,0.231,7.234,255.000
142,5,1.138,0.228,7.125,255.000
143,8,2.260,0.282,14.151,255.000
144,5,1.096,0.219,6.863,255.000
145,4,1.206,0.301,7.550,255.000
146,5,1.386,0.277,8.677,255.000
147,6,1.562,0.260,9.784,255.000
148,6,3.536,0.589,22.143,255.000
149,6,3.497,0.583,21.897,255.000
150,6,3.596,0.599,22.516,255.000
151,6,3.756,0.626,23.522,255.000
152,4,0.640,0.160,4.010,255.000
153,3,0.645,0.215,4.040,255.000
